상품명,발급년도,월,주택유형,지역,건수,보증금액  
전세보증금반환보증,2016,03,아파트,경상북도,29,4679850000
전세보증금반환보증,2016,03,아파트,광주광역시,11,2060000000
전세보증금반환보증,2016,03,아파트,대구광역시,88,16915500000
전세보증금반환보증,2016,03,아파트,대전광역시,25,4547750000
전세보증금반환보증,2016,03,아파트,부산광역시,52,9175100000
전세보증금반환보증,2016,03,아파트,서울특별시,237,56301250000
전세보증금반환보증,2016,03,아파트,세종특별자치시,3,720000000
전세보증금반환보증,2016,03,아파트,울산광역시,10,1950000000
전세보증금반환보증,2016,03,아파트,인천광역시,313,63639950000
전세보증금반환보증,2016,03,아파트,전라남도,4,587500000
전세보증금반환보증,2016,03,아파트,전라북도,10,1500500000
전세보증금반환보증,2016,03,아파트,충청남도,27,3782750000
전세보증금반환보증,2016,03,아파트,충청북도,4,700000000
전세보증금반환보증,2016,03,연립주택,경기도,3,650000000
전세보증금반환보증,2016,03,연립주택,서울특별시,6,1081500000
전세보증금반환보증,2016,03,오피스텔,경기도,3,675000000
전세보증금반환보증,2016,03,오피스텔,대구광역시,1,96000000
전세보증금반환보증,2016,03,오피스텔,부산광역시,2,395000000
전세보증금반환보증,2016,03,오피스텔,서울특별시,4,670000000
전세보증금반환보증,2016,04,다가구주택,경기도,14,2323000000
전세보증금반환보증,2016,04,다가구주택,경상북도,1,5000000
전세보증금반환보증,2016,04,다가구주택,대전광역시,1,75000000
전세보증금반환보증,2016,04,다가구주택,서울특별시,5,632500000
전세보증금반환보증,2016,04,다가구주택,인천광역시,1,110000000
전세보증금반환보증,2016,04,다가구주택,제주특별자치도,1,180000000
전세보증금반환보증,2016,04,다세대주택,경기도,17,1704500000
전세보증금반환보증,2016,04,다세대주택,경상북도,1,90000000
전세보증금반환보증,2016,04,다세대주택,부산광역시,2,143750000
전세보증금반환보증,2016,04,다세대주택,서울특별시,38,5841000000
전세보증금반환보증,2016,04,다세대주택,인천광역시,3,297000000
전세보증금반환보증,2016,04,단독주택,경기도,13,2135000000
전세보증금반환보증,2016,04,단독주택,서울특별시,8,1170000000
전세보증금반환보증,2016,04,아파트,강원도,5,796800000
전세보증금반환보증,2016,04,아파트,경기도,965,2.27E+11
전세보증금반환보증,2016,04,아파트,경상남도,45,6351000000
전세보증금반환보증,2016,04,아파트,경상북도,17,2728500000
전세보증금반환보증,2016,04,아파트,광주광역시,10,1638000000
전세보증금반환보증,2016,04,아파트,대구광역시,72,13310050000
전세보증금반환보증,2016,04,아파트,대전광역시,18,3231500000
전세보증금반환보증,2016,04,아파트,부산광역시,92,15301200000
전세보증금반환보증,2016,04,아파트,서울특별시,271,62724100000
전세보증금반환보증,2016,04,아파트,세종특별자치시,2,330000000
전세보증금반환보증,2016,04,아파트,울산광역시,20,3747500000
전세보증금반환보증,2016,04,아파트,인천광역시,333,68966275000
전세보증금반환보증,2016,04,아파트,전라남도,2,238300000
전세보증금반환보증,2016,04,아파트,전라북도,4,580000000
전세보증금반환보증,2016,04,아파트,제주특별자치도,1,220000000
전세보증금반환보증,2016,04,아파트,충청남도,37,6105250000
전세보증금반환보증,2016,04,아파트,충청북도,5,985000000
전세보증금반환보증,2016,04,연립주택,경기도,5,484500000
전세보증금반환보증,2016,04,연립주택,대구광역시,1,135000000
전세보증금반환보증,2016,04,연립주택,서울특별시,3,385000000
전세보증금반환보증,2016,04,연립주택,인천광역시,3,280000000
전세보증금반환보증,2016,04,연립주택,전라남도,1,95000000
전세보증금반환보증,2016,04,오피스텔,경기도,5,1440000000
전세보증금반환보증,2016,04,오피스텔,서울특별시,5,860000000
전세보증금반환보증,2016,04,오피스텔,인천광역시,1,230000000
전세보증금반환보증,2016,05,다가구주택,경기도,15,2599500000
전세보증금반환보증,2016,05,다가구주택,경상남도,1,150000000
전세보증금반환보증,2016,05,다가구주택,경상북도,1,60000000
전세보증금반환보증,2016,05,다가구주택,대구광역시,1,55000000
전세보증금반환보증,2016,05,다가구주택,서울특별시,11,2114000000
전세보증금반환보증,2016,05,다가구주택,인천광역시,1,70000000
전세보증금반환보증,2016,05,다가구주택,전라북도,1,70000000
전세보증금반환보증,2016,05,다세대주택,경기도,25,2565750000
전세보증금반환보증,2016,05,다세대주택,경상남도,2,205000000
전세보증금반환보증,2016,05,다세대주택,부산광역시,1,70000000
전세보증금반환보증,2016,05,다세대주택,서울특별시,45,7100350000
전세보증금반환보증,2016,05,다세대주택,인천광역시,6,570000000
전세보증금반환보증,2016,05,단독주택,강원도,1,47900000
전세보증금반환보증,2016,05,단독주택,경기도,11,1860000000
전세보증금반환보증,2016,05,단독주택,대전광역시,1,5000000
전세보증금반환보증,2016,05,단독주택,부산광역시,1,22500000
전세보증금반환보증,2016,05,단독주택,서울특별시,2,530000000
전세보증금반환보증,2016,05,단독주택,울산광역시,1,150000000
전세보증금반환보증,2016,05,단독주택,인천광역시,2,280000000
전세보증금반환보증,2016,05,단독주택,전라북도,1,120000000
전세보증금반환보증,2016,05,아파트,강원도,8,774700000
전세보증금반환보증,2016,05,아파트,경기도,988,2.22E+11
전세보증금반환보증,2016,05,아파트,경상남도,42,6242000000
전세보증금반환보증,2016,05,아파트,경상북도,18,2489000000
전세보증금반환보증,2016,05,아파트,광주광역시,12,2055000000
전세보증금반환보증,2016,05,아파트,대구광역시,65,12957200000
전세보증금반환보증,2016,05,아파트,대전광역시,11,2102500000
전세보증금반환보증,2016,05,아파트,부산광역시,125,20713900000
전세보증금반환보증,2016,05,아파트,서울특별시,325,78077750000
전세보증금반환보증,2016,05,아파트,세종특별자치시,3,655000000
전세보증금반환보증,2016,05,아파트,울산광역시,35,6482000000
전세보증금반환보증,2016,05,아파트,인천광역시,356,71440550000
전세보증금반환보증,2016,05,아파트,전라남도,4,659500000
전세보증금반환보증,2016,05,아파트,전라북도,3,306250000
전세보증금반환보증,2016,05,아파트,충청남도,22,3682500000
전세보증금반환보증,2016,05,아파트,충청북도,15,2525000000
전세보증금반환보증,2016,05,연립주택,경기도,11,1610000000
전세보증금반환보증,2016,05,연립주택,서울특별시,6,915000000
전세보증금반환보증,2016,05,연립주택,인천광역시,2,250000000
전세보증금반환보증,2016,05,연립주택,충청남도,1,40000000
전세보증금반환보증,2016,05,오피스텔,경기도,5,1342000000
전세보증금반환보증,2016,05,오피스텔,대구광역시,1,175000000
전세보증금반환보증,2016,05,오피스텔,서울특별시,1,100000000
전세보증금반환보증,2016,05,오피스텔,인천광역시,5,615000000
전세보증금반환보증,2016,05,오피스텔,제주특별자치도,1,237500000
전세보증금반환보증,2016,06,다가구주택,경기도,14,2460000000
전세보증금반환보증,2016,06,다가구주택,경상남도,1,100000000
전세보증금반환보증,2016,06,다가구주택,대구광역시,1,110000000
전세보증금반환보증,2016,06,다가구주택,서울특별시,13,2655500000
전세보증금반환보증,2016,06,다가구주택,인천광역시,1,145000000
전세보증금반환보증,2016,06,다가구주택,충청북도,1,25000000
전세보증금반환보증,2016,06,다세대주택,경기도,14,1631500000
전세보증금반환보증,2016,06,다세대주택,대전광역시,1,75000000
전세보증금반환보증,2016,06,다세대주택,부산광역시,1,100000000
전세보증금반환보증,2016,06,다세대주택,서울특별시,59,10552500000
전세보증금반환보증,2016,06,다세대주택,인천광역시,6,410000000
전세보증금반환보증,2016,06,다세대주택,제주특별자치도,1,160000000
전세보증금반환보증,2016,06,단독주택,경기도,15,2233500000
전세보증금반환보증,2016,06,단독주택,서울특별시,2,310000000
전세보증금반환보증,2016,06,단독주택,인천광역시,2,110000000
전세보증금반환보증,2016,06,아파트,강원도,4,665000000
전세보증금반환보증,2016,06,아파트,경기도,975,2.13E+11
전세보증금반환보증,2016,06,아파트,경상남도,38,6635000000
전세보증금반환보증,2016,06,아파트,경상북도,18,2755000000
전세보증금반환보증,2016,06,아파트,광주광역시,17,2859500000
전세보증금반환보증,2016,06,아파트,대구광역시,73,13725250000
전세보증금반환보증,2016,06,아파트,대전광역시,23,4406050000
전세보증금반환보증,2016,06,아파트,부산광역시,94,15585800000
전세보증금반환보증,2016,06,아파트,서울특별시,261,62848250000
전세보증금반환보증,2016,06,아파트,세종특별자치시,5,775000000
전세보증금반환보증,2016,06,아파트,울산광역시,19,3232000000
전세보증금반환보증,2016,06,아파트,인천광역시,335,69009150000
전세보증금반환보증,2016,06,아파트,전라남도,3,388250000
전세보증금반환보증,2016,06,아파트,전라북도,2,370000000
전세보증금반환보증,2016,06,아파트,제주특별자치도,1,270000000
전세보증금반환보증,2016,06,아파트,충청남도,24,3884350000
전세보증금반환보증,2016,06,아파트,충청북도,7,765000000
전세보증금반환보증,2016,06,연립주택,경기도,3,487500000
전세보증금반환보증,2016,06,연립주택,대구광역시,1,116000000
전세보증금반환보증,2016,06,연립주택,부산광역시,4,521000000
전세보증금반환보증,2016,06,연립주택,서울특별시,10,1613000000
전세보증금반환보증,2016,06,연립주택,인천광역시,3,530000000
전세보증금반환보증,2016,06,오피스텔,경기도,6,912000000
전세보증금반환보증,2016,06,오피스텔,대구광역시,1,139000000
전세보증금반환보증,2016,06,오피스텔,부산광역시,2,315000000
전세보증금반환보증,2016,06,오피스텔,서울특별시,1,120000000
전세보증금반환보증,2016,06,오피스텔,인천광역시,4,775000000
전세보증금반환보증,2016,07,다가구주택,경기도,13,2505000000
전세보증금반환보증,2016,07,다가구주택,경상남도,1,90000000
전세보증금반환보증,2016,07,다가구주택,대구광역시,1,70000000
전세보증금반환보증,2016,07,다가구주택,대전광역시,1,120000000
전세보증금반환보증,2016,07,다가구주택,부산광역시,2,142500000
전세보증금반환보증,2016,07,다가구주택,서울특별시,10,1570000000
전세보증금반환보증,2016,07,다가구주택,인천광역시,4,380000000
전세보증금반환보증,2016,07,다세대주택,경기도,11,1720000000
전세보증금반환보증,2016,07,다세대주택,경상북도,2,265000000
전세보증금반환보증,2016,07,다세대주택,대구광역시,1,110000000
전세보증금반환보증,2016,07,다세대주택,서울특별시,48,8644500000
전세보증금반환보증,2016,07,다세대주택,인천광역시,7,610000000
전세보증금반환보증,2016,07,다세대주택,충청북도,1,100000000
전세보증금반환보증,2016,07,단독주택,경기도,12,1887000000
전세보증금반환보증,2016,07,단독주택,경상남도,1,55000000
전세보증금반환보증,2016,07,단독주택,광주광역시,1,140000000
전세보증금반환보증,2016,07,단독주택,대구광역시,1,150000000
전세보증금반환보증,2016,07,단독주택,서울특별시,7,1172500000
전세보증금반환보증,2016,07,단독주택,울산광역시,1,130000000
전세보증금반환보증,2016,07,단독주택,인천광역시,3,590000000
전세보증금반환보증,2016,07,아파트,강원도,3,570000000
전세보증금반환보증,2016,07,아파트,경기도,1146,2.44E+11
전세보증금반환보증,2016,07,아파트,경상남도,39,5593250000
전세보증금반환보증,2016,07,아파트,경상북도,24,4087000000
전세보증금반환보증,2016,07,아파트,광주광역시,10,1998250000
전세보증금반환보증,2016,07,아파트,대구광역시,70,13097250000
전세보증금반환보증,2016,07,아파트,대전광역시,34,6565000000
전세보증금반환보증,2016,07,아파트,부산광역시,97,17948100000
전세보증금반환보증,2016,07,아파트,서울특별시,267,65051450000
전세보증금반환보증,2016,07,아파트,세종특별자치시,4,647500000
전세보증금반환보증,2016,07,아파트,울산광역시,14,2832500000
전세보증금반환보증,2016,07,아파트,인천광역시,344,69954600000
전세보증금반환보증,2016,07,아파트,전라남도,2,122900000
전세보증금반환보증,2016,07,아파트,전라북도,2,321750000
전세보증금반환보증,2016,07,아파트,충청남도,16,2942000000
전세보증금반환보증,2016,07,아파트,충청북도,4,720000000
전세보증금반환보증,2016,07,연립주택,강원도,1,90000000
전세보증금반환보증,2016,07,연립주택,경기도,5,740000000
전세보증금반환보증,2016,07,연립주택,경상남도,1,300000000
전세보증금반환보증,2016,07,연립주택,부산광역시,1,120000000
전세보증금반환보증,2016,07,연립주택,서울특별시,3,615000000
전세보증금반환보증,2016,07,연립주택,인천광역시,1,175000000
전세보증금반환보증,2016,07,오피스텔,경기도,7,1720000000
전세보증금반환보증,2016,07,오피스텔,경상남도,1,70000000
전세보증금반환보증,2016,07,오피스텔,서울특별시,3,481500000
전세보증금반환보증,2016,07,오피스텔,인천광역시,2,205000000
전세보증금반환보증,2016,07,오피스텔,충청북도,9,1215000000
전세보증금반환보증,2016,08,다가구주택,경기도,28,4900000000
전세보증금반환보증,2016,08,다가구주택,경상남도,1,50000000
전세보증금반환보증,2016,08,다가구주택,서울특별시,17,2943750000
전세보증금반환보증,2016,08,다세대주택,경기도,17,2156500000
전세보증금반환보증,2016,08,다세대주택,대구광역시,1,110000000
전세보증금반환보증,2016,08,다세대주택,부산광역시,5,430000000
전세보증금반환보증,2016,08,다세대주택,서울특별시,65,11800500000
전세보증금반환보증,2016,08,다세대주택,인천광역시,6,600000000
전세보증금반환보증,2016,08,단독주택,경기도,10,2180000000
전세보증금반환보증,2016,08,단독주택,부산광역시,2,170000000
전세보증금반환보증,2016,08,단독주택,서울특별시,7,1443000000
전세보증금반환보증,2016,08,단독주택,인천광역시,2,340000000
전세보증금반환보증,2016,08,아파트,강원도,7,753000000
전세보증금반환보증,2016,08,아파트,경기도,1300,2.85E+11
전세보증금반환보증,2016,08,아파트,경상남도,26,4650000000
전세보증금반환보증,2016,08,아파트,경상북도,30,4979000000
전세보증금반환보증,2016,08,아파트,광주광역시,13,2721250000
전세보증금반환보증,2016,08,아파트,대구광역시,86,15508750000
전세보증금반환보증,2016,08,아파트,대전광역시,32,5670750000
전세보증금반환보증,2016,08,아파트,부산광역시,117,19480950000
전세보증금반환보증,2016,08,아파트,서울특별시,286,70191875000
전세보증금반환보증,2016,08,아파트,세종특별자치시,13,2585000000
전세보증금반환보증,2016,08,아파트,울산광역시,17,2834000000
전세보증금반환보증,2016,08,아파트,인천광역시,389,87178250000
전세보증금반환보증,2016,08,아파트,전라남도,2,310000000
전세보증금반환보증,2016,08,아파트,전라북도,7,1082900000
전세보증금반환보증,2016,08,아파트,충청남도,23,3797000000
전세보증금반환보증,2016,08,아파트,충청북도,6,947500000
전세보증금반환보증,2016,08,연립주택,경기도,2,300000000
전세보증금반환보증,2016,08,연립주택,경상남도,1,62500000
전세보증금반환보증,2016,08,연립주택,서울특별시,4,755000000
전세보증금반환보증,2016,08,오피스텔,경기도,2,247000000
전세보증금반환보증,2016,08,오피스텔,서울특별시,2,200000000
전세보증금반환보증,2016,08,오피스텔,세종특별자치시,1,100000000
전세보증금반환보증,2016,08,오피스텔,인천광역시,3,375000000
전세보증금반환보증,2016,09,다가구주택,경기도,31,5842750000
전세보증금반환보증,2016,09,다가구주택,경상남도,2,260000000
전세보증금반환보증,2016,09,다가구주택,광주광역시,1,133000000
전세보증금반환보증,2016,09,다가구주택,서울특별시,6,983750000
전세보증금반환보증,2016,09,다가구주택,인천광역시,3,510000000
전세보증금반환보증,2016,09,다가구주택,충청남도,1,42000000
전세보증금반환보증,2016,09,다세대주택,경기도,18,2350750000
전세보증금반환보증,2016,09,다세대주택,대전광역시,1,50000000
전세보증금반환보증,2016,09,다세대주택,부산광역시,3,355000000
전세보증금반환보증,2016,09,다세대주택,서울특별시,54,9799750000
전세보증금반환보증,2016,09,다세대주택,인천광역시,1,70000000
전세보증금반환보증,2016,09,단독주택,경기도,12,1730000000
전세보증금반환보증,2016,09,단독주택,경상남도,1,100000000
전세보증금반환보증,2016,09,단독주택,서울특별시,4,600000000
전세보증금반환보증,2016,09,단독주택,울산광역시,1,35000000
전세보증금반환보증,2016,09,단독주택,인천광역시,1,60000000
전세보증금반환보증,2016,09,아파트,강원도,6,1082450000
전세보증금반환보증,2016,09,아파트,경기도,1064,2.3E+11
전세보증금반환보증,2016,09,아파트,경상남도,43,7105000000
전세보증금반환보증,2016,09,아파트,경상북도,24,3581350000
전세보증금반환보증,2016,09,아파트,광주광역시,23,4405000000
전세보증금반환보증,2016,09,아파트,대구광역시,65,11775000000
전세보증금반환보증,2016,09,아파트,대전광역시,19,4077750000
전세보증금반환보증,2016,09,아파트,부산광역시,124,21644650000
전세보증금반환보증,2016,09,아파트,서울특별시,212,53073700000
전세보증금반환보증,2016,09,아파트,세종특별자치시,5,960000000
전세보증금반환보증,2016,09,아파트,울산광역시,16,2990000000
전세보증금반환보증,2016,09,아파트,인천광역시,296,68274350000
전세보증금반환보증,2016,09,아파트,전라남도,22,1921000000
전세보증금반환보증,2016,09,아파트,전라북도,3,433000000
전세보증금반환보증,2016,09,아파트,충청남도,26,4587000000
전세보증금반환보증,2016,09,아파트,충청북도,7,1077750000
전세보증금반환보증,2016,09,연립주택,경기도,1,267000000
전세보증금반환보증,2016,09,연립주택,경상남도,2,304000000
전세보증금반환보증,2016,09,연립주택,부산광역시,1,150000000
전세보증금반환보증,2016,09,연립주택,서울특별시,10,1611250000
전세보증금반환보증,2016,09,연립주택,인천광역시,2,320000000
전세보증금반환보증,2016,09,오피스텔,경기도,3,250000000
전세보증금반환보증,2016,09,오피스텔,대전광역시,1,125000000
전세보증금반환보증,2016,09,오피스텔,부산광역시,1,130000000
전세보증금반환보증,2016,09,오피스텔,서울특별시,2,470000000
전세보증금반환보증,2016,09,오피스텔,인천광역시,2,175000000
전세보증금반환보증,2016,09,오피스텔,충청남도,1,60000000
전세보증금반환보증,2016,10,다가구주택,경기도,27,3883500000
전세보증금반환보증,2016,10,다가구주택,경상남도,2,330000000
전세보증금반환보증,2016,10,다가구주택,부산광역시,1,70000000
전세보증금반환보증,2016,10,다가구주택,서울특별시,12,2520000000
전세보증금반환보증,2016,10,다가구주택,인천광역시,1,80000000
전세보증금반환보증,2016,10,다세대주택,경기도,8,853000000
전세보증금반환보증,2016,10,다세대주택,부산광역시,3,297500000
전세보증금반환보증,2016,10,다세대주택,서울특별시,50,9770250000
전세보증금반환보증,2016,10,다세대주택,인천광역시,4,740000000
전세보증금반환보증,2016,10,단독주택,경기도,10,1902000000
전세보증금반환보증,2016,10,단독주택,부산광역시,2,170000000
전세보증금반환보증,2016,10,단독주택,서울특별시,12,2000000000
전세보증금반환보증,2016,10,단독주택,충청북도,1,60000000
전세보증금반환보증,2016,10,아파트,강원도,7,1278000000
전세보증금반환보증,2016,10,아파트,경기도,1047,2.35E+11
전세보증금반환보증,2016,10,아파트,경상남도,52,7030250000
전세보증금반환보증,2016,10,아파트,경상북도,41,6186600000
전세보증금반환보증,2016,10,아파트,광주광역시,24,4749750000
전세보증금반환보증,2016,10,아파트,대구광역시,93,17867400000
전세보증금반환보증,2016,10,아파트,대전광역시,24,4265250000
전세보증금반환보증,2016,10,아파트,부산광역시,125,20658900000
전세보증금반환보증,2016,10,아파트,서울특별시,263,60823500000
전세보증금반환보증,2016,10,아파트,세종특별자치시,7,1312500000
전세보증금반환보증,2016,10,아파트,울산광역시,22,4128000000
전세보증금반환보증,2016,10,아파트,인천광역시,365,81877800000
전세보증금반환보증,2016,10,아파트,전라남도,50,4136000000
전세보증금반환보증,2016,10,아파트,전라북도,11,1447000000
전세보증금반환보증,2016,10,아파트,충청남도,14,2675000000
전세보증금반환보증,2016,10,아파트,충청북도,4,652160000
전세보증금반환보증,2016,10,연립주택,경기도,4,660000000
전세보증금반환보증,2016,10,연립주택,경상남도,1,160000000
전세보증금반환보증,2016,10,연립주택,부산광역시,2,230000000
전세보증금반환보증,2016,10,연립주택,서울특별시,6,1015000000
전세보증금반환보증,2016,10,오피스텔,경상남도,1,115000000
전세보증금반환보증,2016,10,오피스텔,서울특별시,2,393000000
전세보증금반환보증,2016,10,오피스텔,울산광역시,1,220000000
전세보증금반환보증,2016,11,다가구주택,경기도,34,7122750000
전세보증금반환보증,2016,11,다가구주택,경상남도,2,127000000
전세보증금반환보증,2016,11,다가구주택,대전광역시,1,70000000
전세보증금반환보증,2016,11,다가구주택,서울특별시,9,1870000000
전세보증금반환보증,2016,11,다가구주택,제주특별자치도,1,170000000
전세보증금반환보증,2016,11,다가구주택,충청북도,1,35000000
전세보증금반환보증,2016,11,다세대주택,경기도,8,956100000
전세보증금반환보증,2016,11,다세대주택,서울특별시,60,11754500000
전세보증금반환보증,2016,11,다세대주택,인천광역시,2,230000000
전세보증금반환보증,2016,11,단독주택,경기도,13,2230000000
전세보증금반환보증,2016,11,단독주택,서울특별시,4,695000000
전세보증금반환보증,2016,11,아파트,강원도,11,2073750000
전세보증금반환보증,2016,11,아파트,경기도,1161,2.6E+11
전세보증금반환보증,2016,11,아파트,경상남도,48,7622500000
전세보증금반환보증,2016,11,아파트,경상북도,41,5731300000
전세보증금반환보증,2016,11,아파트,광주광역시,23,4417000000
전세보증금반환보증,2016,11,아파트,대구광역시,86,15714250000
전세보증금반환보증,2016,11,아파트,대전광역시,24,4441150000
전세보증금반환보증,2016,11,아파트,부산광역시,165,29365250000
전세보증금반환보증,2016,11,아파트,서울특별시,246,60460350000
전세보증금반환보증,2016,11,아파트,세종특별자치시,11,2310000000
전세보증금반환보증,2016,11,아파트,울산광역시,20,4126000000
전세보증금반환보증,2016,11,아파트,인천광역시,376,84794250000
전세보증금반환보증,2016,11,아파트,전라남도,17,1615000000
전세보증금반환보증,2016,11,아파트,전라북도,10,1680000000
전세보증금반환보증,2016,11,아파트,충청남도,21,3365000000
전세보증금반환보증,2016,11,아파트,충청북도,6,920000000
전세보증금반환보증,2016,11,연립주택,경기도,3,680000000
전세보증금반환보증,2016,11,연립주택,부산광역시,1,210000000
전세보증금반환보증,2016,11,연립주택,서울특별시,8,1115000000
전세보증금반환보증,2016,11,오피스텔,경기도,4,600000000
전세보증금반환보증,2016,11,오피스텔,부산광역시,2,290000000
전세보증금반환보증,2016,11,오피스텔,서울특별시,6,952500000
전세보증금반환보증,2016,11,오피스텔,인천광역시,4,668000000
전세보증금반환보증,2016,11,오피스텔,충청남도,1,75000000
전세보증금반환보증,2016,12,다가구주택,강원도,1,80000000
전세보증금반환보증,2016,12,다가구주택,경기도,27,4398000000
전세보증금반환보증,2016,12,다가구주택,경상남도,1,70000000
전세보증금반환보증,2016,12,다가구주택,대구광역시,2,270000000
전세보증금반환보증,2016,12,다가구주택,서울특별시,10,1745000000
전세보증금반환보증,2016,12,다가구주택,울산광역시,1,75000000
전세보증금반환보증,2016,12,다가구주택,인천광역시,3,460000000
전세보증금반환보증,2016,12,다가구주택,전라북도,1,110000000
전세보증금반환보증,2016,12,다가구주택,충청남도,1,70000000
전세보증금반환보증,2016,12,다세대주택,경기도,16,1847250000
