기준연월,구분,주택,보증유형,건수,금액(백만원),비율(건수기준_퍼센트)
2017-06-01,단독주택,단독주택,전세자금대출특약보증,184,21458,2
2017-06-01,단독주택,다가구주택,전세자금대출특약보증,440,52992,5
2017-06-01,공동주택,다세대주택,전세자금대출특약보증,1133,141109,13
2017-06-01,공동주택,연립주택,전세자금대출특약보증,173,22834,2
2017-06-01,공동주택,오피스텔,전세자금대출특약보증,367,49628,4
2017-06-01,공동주택,아파트,전세자금대출특약보증,6426,967185,74
2017-09-01,단독주택,단독주택,전세보증금반환보증,243,38870,2
2017-09-01,단독주택,다가구주택,전세보증금반환보증,540,87998,4
2017-09-01,공동주택,다세대주택,전세보증금반환보증,1649,300973,14
2017-09-01,공동주택,연립주택,전세보증금반환보증,225,44544,2
2017-09-01,공동주택,오피스텔,전세보증금반환보증,606,109046,5
2017-09-01,공동주택,아파트,전세보증금반환보증,8955,2036377,73
2017-09-01,단독주택,단독주택,전세자금대출특약보증,234,27493,2
2017-09-01,단독주택,다가구주택,전세자금대출특약보증,520,62761,5
2017-09-01,공동주택,다세대주택,전세자금대출특약보증,1586,210323,14
2017-09-01,공동주택,연립주택,전세자금대출특약보증,216,30427,2
2017-09-01,공동주택,오피스텔,전세자금대출특약보증,549,73496,5
2017-09-01,공동주택,아파트,전세자금대출특약보증,7902,1275916,72
2017-12-01,단독주택,단독주택,전세보증금반환보증,283,46528,2
2017-12-01,단독주택,다가구주택,전세보증금반환보증,589,99699,5
2017-12-01,공동주택,다세대주택,전세보증금반환보증,2068,387204,16
2017-12-01,공동주택,연립주택,전세보증금반환보증,222,42545,2
2017-12-01,공동주택,오피스텔,전세보증금반환보증,633,121579,5
2017-12-01,공동주택,아파트,전세보증금반환보증,9289,2182116,71
2017-12-01,단독주택,단독주택,전세자금대출특약보증,273,33018,2
2017-12-01,단독주택,다가구주택,전세자금대출특약보증,566,72014,5
2017-12-01,공동주택,다세대주택,전세자금대출특약보증,2004,274301,17
2017-12-01,공동주택,연립주택,전세자금대출특약보증,210,29472,2
2017-12-01,공동주택,오피스텔,전세자금대출특약보증,593,83827,5
2017-12-01,공동주택,아파트,전세자금대출특약보증,8424,1396837,70
2018-03-01,단독주택,단독주택,전세보증금반환보증,370,64361,2
2018-03-01,단독주택,다가구주택,전세보증금반환보증,852,136918,5
2018-03-01,공동주택,다세대주택,전세보증금반환보증,2701,499758,15
2018-03-01,공동주택,연립주택,전세보증금반환보증,277,51308,2
2018-03-01,공동주택,오피스텔,전세보증금반환보증,912,165226,5
2018-03-01,공동주택,아파트,전세보증금반환보증,13404,3166740,72
2018-03-01,단독주택,단독주택,전세자금대출특약보증,339,44960,2
2018-03-01,단독주택,다가구주택,전세자금대출특약보증,791,97925,5
2018-03-01,공동주택,다세대주택,전세자금대출특약보증,2524,345600,16
2018-03-01,공동주택,연립주택,전세자금대출특약보증,256,33678,2
2018-03-01,공동주택,오피스텔,전세자금대출특약보증,816,109960,5
2018-03-01,공동주택,아파트,전세자금대출특약보증,11378,1881362,71
2018-06-01,단독주택,단독주택,전세보증금반환보증,594,97892,3
2018-06-01,단독주택,다가구주택,전세보증금반환보증,1085,176750,5
2018-06-01,공동주택,다세대주택,전세보증금반환보증,3851,720545,17
2018-06-01,공동주택,연립주택,전세보증금반환보증,396,72074,2
2018-06-01,공동주택,오피스텔,전세보증금반환보증,1369,255858,6
2018-06-01,공동주택,아파트,전세보증금반환보증,15696,3606219,68
2018-06-01,단독주택,단독주택,전세자금대출특약보증,559,67379,3
2018-06-01,단독주택,다가구주택,전세자금대출특약보증,1003,123562,5
2018-06-01,공동주택,다세대주택,전세자금대출특약보증,3527,478500,18
2018-06-01,공동주택,연립주택,전세자금대출특약보증,355,47170,2
2018-06-01,공동주택,오피스텔,전세자금대출특약보증,1190,165060,6
2018-06-01,공동주택,아파트,전세자금대출특약보증,13104,2081503,66
2018-09-01,단독주택,단독주택,전세보증금반환보증,575,94803,3
2018-09-01,단독주택,다가구주택,전세보증금반환보증,1265,199604,6
2018-09-01,공동주택,다세대주택,전세보증금반환보증,3217,599376,15
2018-09-01,공동주택,연립주택,전세보증금반환보증,348,64459,2
2018-09-01,공동주택,오피스텔,전세보증금반환보증,1309,229850,6
2018-09-01,공동주택,아파트,전세보증금반환보증,14651,3365194,69
2018-09-01,단독주택,단독주택,전세자금대출특약보증,538,65857,3
2018-09-01,단독주택,다가구주택,전세자금대출특약보증,1191,140801,7
2018-09-01,공동주택,다세대주택,전세자금대출특약보증,2905,398910,16
2018-09-01,공동주택,연립주택,전세자금대출특약보증,301,40409,2
2018-09-01,공동주택,오피스텔,전세자금대출특약보증,1066,140764,6
2018-09-01,공동주택,아파트,전세자금대출특약보증,12192,1995519,67
2018-12-01,단독주택,단독주택,전세보증금반환보증,805,125206,3
2018-12-01,단독주택,다가구주택,전세보증금반환보증,1707,251469,6
2018-12-01,공동주택,다세대주택,전세보증금반환보증,4218,757953,16
2018-12-01,공동주택,연립주택,전세보증금반환보증,418,78131,2
2018-12-01,공동주택,오피스텔,전세보증금반환보증,1941,313737,7
2018-12-01,공동주택,아파트,전세보증금반환보증,17390,3943267,66
2018-12-01,단독주택,단독주택,전세자금대출특약보증,766,89631,3
2018-12-01,단독주택,다가구주택,전세자금대출특약보증,1621,184829,7
2018-12-01,공동주택,다세대주택,전세자금대출특약보증,3715,493225,17
2018-12-01,공동주택,연립주택,전세자금대출특약보증,379,50601,2
2018-12-01,공동주택,오피스텔,전세자금대출특약보증,1637,201990,7
2018-12-01,공동주택,아파트,전세자금대출특약보증,13949,2226055,63
2019-03-01,단독주택,단독주택,전세보증금반환보증,751,109507,2
2019-03-01,단독주택,다가구주택,전세보증금반환보증,2008,285685,6
2019-03-01,공동주택,다세대주택,전세보증금반환보증,5171,900758,16
2019-03-01,공동주택,연립주택,전세보증금반환보증,541,97312,2
2019-03-01,공동주택,오피스텔,전세보증금반환보증,3200,485811,10
2019-03-01,공동주택,아파트,전세보증금반환보증,21640,4863159,65
2019-03-01,단독주택,단독주택,전세자금대출특약보증,673,74086,3
2019-03-01,단독주택,다가구주택,전세자금대출특약보증,1837,205945,8
2019-03-01,공동주택,다세대주택,전세자금대출특약보증,4193,543784,17
2019-03-01,공동주택,연립주택,전세자금대출특약보증,438,58130,2
2019-03-01,공동주택,오피스텔,전세자금대출특약보증,2459,282290,10
2019-03-01,공동주택,아파트,전세자금대출특약보증,14810,2294406,61
2019-06-01,단독주택,단독주택,전세보증금반환보증,1147,165637,3
2019-06-01,단독주택,다가구주택,전세보증금반환보증,2802,406227,7
2019-06-01,공동주택,다세대주택,전세보증금반환보증,7281,1294046,18
2019-06-01,공동주택,연립주택,전세보증금반환보증,717,123810,2
2019-06-01,공동주택,오피스텔,전세보증금반환보증,4259,646549,11
2019-06-01,공동주택,아파트,전세보증금반환보증,23864,5036398,60
2019-06-01,단독주택,단독주택,전세자금대출특약보증,1045,117250,3
2019-06-01,단독주택,다가구주택,전세자금대출특약보증,2588,296493,8
2019-06-01,공동주택,다세대주택,전세자금대출특약보증,6078,813184,20
2019-06-01,공동주택,연립주택,전세자금대출특약보증,577,73238,2
2019-06-01,공동주택,오피스텔,전세자금대출특약보증,3300,391131,11
2019-06-01,공동주택,아파트,전세자금대출특약보증,16933,2489831,55
2019-09-01,공동주택,아파트,전세보증금반환보증,26284,5652565,63
2019-09-01,공동주택,오피스텔,전세보증금반환보증,5092,750613,12
2019-09-01,공동주택,연립주택,전세보증금반환보증,720,126398,2
2019-09-01,공동주택,다세대주택,전세보증금반환보증,6927,1236686,17
2019-09-01,단독주택,단독주택,전세보증금반환보증,904,133512,2
