기준연월,구분,주택,보증유형,건수,금액(백만원),비율(건수기준_퍼센트)
2023-06-01,공동주택,아파트,전세보증금반환보증,18898,4795164,66
2023-06-01,공동주택,오피스텔,전세보증금반환보증,5918,1029639,21
2023-06-01,공동주택,연립주택,전세보증금반환보증,174,37713,1
2023-06-01,공동주택,다세대주택,전세보증금반환보증,2849,555235,10
2023-06-01,단독주택,단독주택,전세보증금반환보증,152,22956,1
2023-06-01,단독주택,다가구주택,전세보증금반환보증,622,74672,2
2023-06-01,단독주택,다중주택,전세보증금반환보증,13,1110,0
2023-06-01,공동주택,노인복지주택,전세보증금반환보증,8,2303,0
2023-06-01,공동주택,아파트,전세자금대출특약보증,32400,8088095,59
2023-06-01,공동주택,오피스텔,전세자금대출특약보증,8440,1514442,15
2023-06-01,공동주택,연립주택,전세자금대출특약보증,728,145144,1
2023-06-01,공동주택,다세대주택,전세자금대출특약보증,9539,1760912,18
2023-06-01,단독주택,단독주택,전세자금대출특약보증,963,157475,2
2023-06-01,단독주택,다가구주택,전세자금대출특약보증,2386,406628,4
2023-06-01,단독주택,다중주택,전세자금대출특약보증,14,1945,0
2023-09-01,공동주택,아파트,전세보증금반환보증,13895,3455962,67
2023-09-01,공동주택,오피스텔,전세보증금반환보증,4099,715199,20
2023-09-01,공동주택,연립주택,전세보증금반환보증,133,28448,1
2023-09-01,공동주택,다세대주택,전세보증금반환보증,2034,381448,10
2023-09-01,단독주택,단독주택,전세보증금반환보증,126,18427,1
2023-09-01,단독주택,다가구주택,전세보증금반환보증,386,53472,2
2023-09-01,단독주택,다중주택,전세보증금반환보증,9,760,0
2023-09-01,공동주택,노인복지주택,전세보증금반환보증,3,1140,0
2023-09-01,공동주택,아파트,전세자금대출특약보증,32027,8185058,58
2023-09-01,공동주택,오피스텔,전세자금대출특약보증,9609,1727980,18
2023-09-01,공동주택,연립주택,전세자금대출특약보증,756,146234,1
2023-09-01,공동주택,다세대주택,전세자금대출특약보증,9382,1746390,17
2023-09-01,단독주택,단독주택,전세자금대출특약보증,877,145856,2
2023-09-01,단독주택,다가구주택,전세자금대출특약보증,2110,354883,4
2023-09-01,단독주택,다중주택,전세자금대출특약보증,4,399,0
2023-12-01,공동주택,아파트,전세보증금반환보증,14872,3712434,67
2023-12-01,공동주택,오피스텔,전세보증금반환보증,4437,789265,20
2023-12-01,공동주택,연립주택,전세보증금반환보증,163,32954,1
2023-12-01,공동주택,다세대주택,전세보증금반환보증,2211,426170,10
2023-12-01,단독주택,단독주택,전세보증금반환보증,98,16216,0
2023-12-01,단독주택,다가구주택,전세보증금반환보증,370,51495,2
2023-12-01,단독주택,다중주택,전세보증금반환보증,6,757,0
2023-12-01,공동주택,노인복지주택,전세보증금반환보증,2,820,0
2023-12-01,공동주택,아파트,전세자금대출특약보증,30767,7821569,57
2023-12-01,공동주택,오피스텔,전세자금대출특약보증,9678,1753091,18
2023-12-01,공동주택,연립주택,전세자금대출특약보증,737,144836,1
2023-12-01,공동주택,다세대주택,전세자금대출특약보증,9611,1769772,18
2023-12-01,단독주택,단독주택,전세자금대출특약보증,826,136872,2
2023-12-01,단독주택,다가구주택,전세자금대출특약보증,2002,336143,4
2023-12-01,단독주택,다중주택,전세자금대출특약보증,4,771,0
2024-03-01,공동주택,아파트,전세보증금반환보증,14984,3857527,68
2024-03-01,공동주택,오피스텔,전세보증금반환보증,4377,788875,20
2024-03-01,공동주택,연립주택,전세보증금반환보증,162,33784,1
2024-03-01,공동주택,다세대주택,전세보증금반환보증,2177,413280,10
2024-03-01,단독주택,단독주택,전세보증금반환보증,103,15244,0
2024-03-01,단독주택,다가구주택,전세보증금반환보증,360,51403,2
2024-03-01,단독주택,다중주택,전세보증금반환보증,11,1120,0
2024-03-01,공동주택,노인복지주택,전세보증금반환보증,1,430,0
2024-03-01,공동주택,아파트,전세자금대출특약보증,31277,8352514,59
2024-03-01,공동주택,오피스텔,전세자금대출특약보증,10169,1847356,19
2024-03-01,공동주택,연립주택,전세자금대출특약보증,677,132175,1
2024-03-01,공동주택,다세대주택,전세자금대출특약보증,8986,1683535,17
2024-03-01,단독주택,단독주택,전세자금대출특약보증,673,113709,1
2024-03-01,단독주택,다가구주택,전세자금대출특약보증,1633,277781,3
2024-03-01,단독주택,다중주택,전세자금대출특약보증,3,380,0
2024-03-01,공동주택,아파트,전세보증금반환보증,14821,3766227,66
2024-06-01,공동주택,오피스텔,전세보증금반환보증,4642,851050,21
2024-06-01,공동주택,다세대주택,전세보증금반환보증,2332,435772,10
2024-06-01,단독주택,다가구주택,전세보증금반환보증,428,58165,2
2024-06-01,단독주택,단독주택,전세보증금반환보증,137,20676,1
2024-06-01,공동주택,연립주택,전세보증금반환보증,145,30689,1
2024-06-01,공동주택,노인복지주택,전세보증금반환보증,1,670,0
2024-06-01,단독주택,다중주택,전세보증금반환보증,14,2085,0
2024-06-01,공동주택,아파트,전세자금대출특약보증,31104,8288907,59
2024-06-01,공동주택,오피스텔,전세자금대출특약보증,9189,1728552,17
2024-06-01,공동주택,다세대주택,전세자금대출특약보증,8979,1675925,17
2024-06-01,단독주택,다가구주택,전세자금대출특약보증,1790,322070,3
2024-06-01,단독주택,단독주택,전세자금대출특약보증,742,126381,1
2024-06-01,공동주택,연립주택,전세자금대출특약보증,770,157196,1
2024-06-01,단독주택,다중주택,전세자금대출특약보증,7,665,0
2024-09-01,공동주택,아파트,전세보증금반환보증,12715,3317977,64
2024-09-01,공동주택,오피스텔,전세보증금반환보증,4328,795598,22
2024-09-01,공동주택,다세대주택,전세보증금반환보증,2204,418527,11
2024-09-01,단독주택,다가구주택,전세보증금반환보증,481,66839,2
2024-09-01,단독주택,단독주택,전세보증금반환보증,109,19526,1
2024-09-01,공동주택,연립주택,전세보증금반환보증,143,28332,1
2024-09-01,공동주택,노인복지주택,전세보증금반환보증,1,480,0
2024-09-01,단독주택,다중주택,전세보증금반환보증,12,1358,0
2024-09-01,공동주택,아파트,전세자금대출특약보증,31149,8560419,61
2024-09-01,공동주택,오피스텔,전세자금대출특약보증,8883,1663561,17
2024-09-01,공동주택,다세대주택,전세자금대출특약보증,8428,1582651,16
2024-09-01,단독주택,다가구주택,전세자금대출특약보증,1595,289840,3
2024-09-01,단독주택,단독주택,전세자금대출특약보증,682,125603,1
2024-09-01,공동주택,연립주택,전세자금대출특약보증,664,145636,1
2024-09-01,단독주택,다중주택,전세자금대출특약보증,7,879,0
2024-12-01,공동주택,아파트,전세보증금반환보증,13555,3587417,65
2024-12-01,공동주택,오피스텔,전세보증금반환보증,4357,809370,21
2024-12-01,공동주택,다세대주택,전세보증금반환보증,2255,421775,11
2024-12-01,단독주택,다가구주택,전세보증금반환보증,449,64176,2
2024-12-01,단독주택,단독주택,전세보증금반환보증,128,21695,1
2024-12-01,공동주택,연립주택,전세보증금반환보증,169,41046,1
2024-12-01,공동주택,노인복지주택,전세보증금반환보증,3,1270,0
2024-12-01,단독주택,다중주택,전세보증금반환보증,10,987,0
2024-12-01,공동주택,아파트,전세자금대출특약보증,26177,7070254,60
2024-12-01,공동주택,오피스텔,전세자금대출특약보증,7398,1337804,17
2024-12-01,공동주택,다세대주택,전세자금대출특약보증,7611,1398585,17
2024-12-01,단독주택,다가구주택,전세자금대출특약보증,1349,242910,3
2024-12-01,단독주택,단독주택,전세자금대출특약보증,566,95952,1
2024-12-01,공동주택,연립주택,전세자금대출특약보증,598,120642,1
2024-12-01,단독주택,다중주택,전세자금대출특약보증,2,450,0
2025-03-01,공동주택,아파트,전세보증금반환보증,14723,3826359,67
2025-03-01,공동주택,오피스텔,전세보증금반환보증,4685,825660,21
2025-03-01,공동주택,다세대주택,전세보증금반환보증,1926,348853,9
2025-03-01,단독주택,다가구주택,전세보증금반환보증,380,49725,2
2025-03-01,단독주택,단독주택,전세보증금반환보증,102,15970,0
2025-03-01,공동주택,연립주택,전세보증금반환보증,136,30008,1
2025-03-01,단독주택,다중주택,전세보증금반환보증,14,1432,0
2025-03-01,공동주택,아파트,전세자금대출특약보증,30214,8169424,61
2025-03-01,공동주택,오피스텔,전세자금대출특약보증,9218,1716692,19
2025-03-01,공동주택,다세대주택,전세자금대출특약보증,7664,1422893,15
2025-03-01,단독주택,다가구주택,전세자금대출특약보증,1333,228788,3
2025-03-01,단독주택,단독주택,전세자금대출특약보증,561,99628,1
2025-03-01,공동주택,연립주택,전세자금대출특약보증,636,132422,1
2025-03-01,단독주택,다중주택,전세자금대출특약보증,15,1913,0
2025-06-01,공동주택,아파트,전세보증금반환보증,14854,3705073,72
2025-06-01,공동주택,오피스텔,전세보증금반환보증,5140,921109,18
2025-06-01,공동주택,다세대주택,전세보증금반환보증,2294,417151,8
2025-06-01,단독주택,다가구주택,전세보증금반환보증,433,58978,1
2025-06-01,단독주택,단독주택,전세보증금반환보증,116,18719,0
2025-06-01,공동주택,연립주택,전세보증금반환보증,136,28675,1
2025-06-01,단독주택,다중주택,전세보증금반환보증,14,1910,0
2025-06-01,공동주택,노인복지주택,전세보증금반환보증,1,420,0
2025-06-01,공동주택,아파트,전세자금대출특약보증,32959,8752610,68
2025-06-01,공동주택,오피스텔,전세자금대출특약보증,9230,1767491,14
2025-06-01,공동주택,다세대주택,전세자금대출특약보증,9177,1740247,14
2025-06-01,단독주택,다가구주택,전세자금대출특약보증,1702,308811,2
2025-06-01,단독주택,단독주택,전세자금대출특약보증,712,123763,1
2025-06-01,공동주택,연립주택,전세자금대출특약보증,710,154596,1
2025-06-01,단독주택,다중주택,전세자금대출특약보증,11,1954,0
2025-09-01,공동주택,아파트,전세보증금반환보증,13071,3335900,61
2025-09-01,공동주택,오피스텔,전세보증금반환보증,5034,915028,24
2025-09-01,공동주택,연립주택,전세보증금반환보증,156,34360,1
2025-09-01,공동주택,다세대주택,전세보증금반환보증,2474,463536,12
2025-09-01,단독주택,단독주택,전세보증금반환보증,127,22454,1
2025-09-01,단독주택,다가구주택,전세보증금반환보증,493,70628,2
2025-09-01,단독주택,다중주택,전세보증금반환보증,11,1388,0
2025-09-01,공동주택,노인복지주택,전세보증금반환보증,4,1470,0
2025-09-01,공동주택,아파트,전세자금대출특약보증,28172,7534978,60
2025-09-01,공동주택,오피스텔,전세자금대출특약보증,8439,1585899,18
2025-09-01,공동주택,연립주택,전세자금대출특약보증,611,122825,1
2025-09-01,공동주택,다세대주택,전세자금대출특약보증,7930,1510425,17
2025-09-01,단독주택,단독주택,전세자금대출특약보증,614,107709,1
2025-09-01,단독주택,다가구주택,전세자금대출특약보증,1409,251345,3
2025-09-01,단독주택,다중주택,전세자금대출특약보증,9,950,0
